iter	Passed	Remaining
212	11856	43806
213	11903	43718
214	11951	43638
215	11994	43536
216	12045	43464
217	12160	43622
218	12204	43523
219	12240	43397
220	12304	43370
221	12334	43225
222	12369	43098
223	12394	42936
224	12425	42798
225	12503	42821
226	12607	42931
227	12731	43109
228	12809	43125
229	12866	43074
230	12924	43024
231	12956	42891
232	12985	42746
233	13027	42644
234	13068	42542
235	13104	42424
236	13151	42341
237	13196	42251
238	13246	42177
239	13304	42131
240	13346	42033
241	13394	41955
242	13427	41831
243	13464	41719
244	13494	41585
245	13540	41503
246	13582	41406
247	13615	41285
248	13672	41235
249	13745	41235
250	13773	41099
251	13817	41012
252	13898	41036
253	13948	40965
254	13983	40854
255	14030	40776
256	14087	40727
257	14131	40642
258	14169	40538
259	14219	40471
260	14270	40404
261	14329	40363
262	14373	40279
263	14426	40219
264	14470	40136
265	14502	40017
266	14544	39930
267	14600	39878
268	14645	39799
269	14682	39698
270	14726	39616
271	14767	39523
272	14806	39429
273	14843	39328
274	14877	39221
275	14916	39129
276	14964	39059
277	14998	38951
278	15037	38859
279	15074	38762
280	15111	38666
281	15152	38579
282	15188	38481
283	15220	38373
284	15257	38278
285	15291	38174
286	15314	38046
287	15344	37934
288	15383	37847
289	15427	37770
290	15505	37778
291	15558	37724
292	15608	37662
293	15654	37592
294	15808	37779
295	15838	37669
296	15863	37549
297	15890	37434
298	15926	37339
299	15970	37263
300	16026	37216
301	16066	37133
302	16124	37092
303	16187	37061
304	16239	37004
305	16335	37048
306	16390	36999
307	16440	36936
308	16499	36896
309	16578	36901
310	16651	36890
311	16679	36780
312	16717	36693
313	16902	36927
314	17034	37042
315	17122	37062
316	17147	36945
317	17190	36866
318	17243	36810
319	17292	36746
320	17344	36688
321	17401	36640
322	17441	36557
323	17475	36461
324	17593	36540
325	17617	36424
326	17649	36324
327	17683	36230
328	17724	36149
329	17787	36114
330	17821	36020
331	17853	35921
332	17893	35840
333	17939	35772
334	17996	35725
335	18041	35654
336	18106	35622
337	18140	35529
338	18175	35440
339	18214	35356
340	18248	35266
341	18280	35170
342	18310	35073
343	18347	34988
344	18375	34886
345	18401	34781
346	18434	34690
347	18474	34612
348	18507	34522
349	18557	34464
350	18594	34381
351	18627	34291
352	18666	34212
353	18697	34121
354	18728	34028
355	18777	33968
356	18804	33868
357	18839	33784
358	18879	33708
359	18910	33619
360	18938	33523
361	18961	33418
362	18993	33329
363	19023	33239
364	19056	33152
365	19092	33073
366	19128	32993
367	19160	32906
368	19194	32823
369	19226	32736
370	19260	32654
371	19288	32562
372	19322	32479
373	19360	32405
374	19393	32322
375	19427	32241
376	19458	32154
377	19503	32092
378	19541	32019
379	19586	31956
380	19621	31879
381	19657	31802
382	19686	31714
383	19718	31631
384	19750	31548
385	19782	31466
386	19821	31396
387	19857	31321
388	19895	31249
389	19920	31157
390	19952	31077
391	19991	31007
392	20024	30928
393	20059	30852
394	20097	30781
395	20128	30700
396	20166	30630
397	20201	30555
398	20237	30483
399	20277	30415
400	20311	30341
401	20353	30277
402	20392	30209
403	20426	30133
404	20457	30054
405	20487	29974
406	20517	29894
407	20563	29837
408	20609	29780
409	20640	29702
410	20678	29633
411	20708	29554
412	20736	29473
413	20789	29426
414	20828	29360
415	20875	29305
416	20899	29219
417	20934	29148
418	20987	29101
419	21022	29030
420	21059	28962
421	21101	28902
422	21148	28848
423	21185	28779
424	21239	28735
425	21281	28675
426	21316	28605
427	21355	28540
428	21387	28466
429	21425	28401
430	21472	28348
431	21509	28280
432	21559	28231
433	21618	28194
434	21652	28122
435	21678	28042
436	21696	27952
437	21720	27869
438	21753	27798
439	21785	27726
440	21823	27663
441	21849	27583
442	21895	27530
443	21968	27510
444	22013	27455
445	22059	27401
446	22095	27335
447	22164	27309
448	22189	27230
449	22213	27149
450	22247	27081
451	22291	27025
452	22322	26954
453	22355	26886
454	22383	26810
455	22421	26748
456	22455	26681
457	22479	26602
458	22544	26571
459	22583	26510
460	22624	26452
461	22660	26388
462	22691	26318
463	22730	26258
464	22767	26194
465	22819	26149
466	22851	26080
467	22870	25998
468	22893	25919
469	22920	25846
470	22956	25783
471	22986	25713
472	23019	25647
473	23054	25583
474	23088	25519
475	23121	25453
476	23150	25382
477	23184	25318
478	23214	25249
479	23248	25185
480	23279	25118
481	23316	25057
482	23349	24993
483	23382	24928
484	23415	24863
485	23456	24808
486	23493	24748
487	23529	24687
488	23568	24628
489	23599	24562
490	23629	24495
491	23662	24432
492	23698	24371
493	23729	24305
494	23779	24259
495	23817	24201
496	23849	24137
497	23889	24081
498	23916	24012
499	23941	23941
500	23973	23877
501	24014	23823
502	24061	23773
503	24099	23717
504	24155	23677
505	24189	23615
506	24220	23551
507	24254	23490
508	24286	23427
509	24318	23364
510	24349	23301
511	24375	23233
512	24407	23170
513	24440	23109
514	24489	23063
515	24523	23002
516	24556	22941
517	24588	22879
518	24616	22814
519	24639	22744
520	24720	22727
521	24769	22681
522	24831	22647
523	24903	22622
524	24978	22599
525	25027	22553
526	25083	22513
527	25152	22484
528	25182	22421
529	25235	22378
530	25314	22358
531	25356	22305
532	25428	22279
533	25488	22242
534	25540	22198
535	25570	22135
536	25599	22071
537	25625	22005
538	25693	21975
539	25722	21911
540	25751	21848
541	25780	21785
542	25813	21725
543	25848	21666
544	25880	21606
545	25918	21550
546	25993	21526
547	26044	21481
548	26092	21434
549	26126	21376
550	26158	21315
551	26198	21262
552	26239	21209
553	26279	21156
554	26315	21100
555	26365	21054
556	26407	21003
557	26441	20944
558	26474	20886
559	26507	20827
560	26545	20773
561	26586	20720
562	26623	20665
563	26671	20618
564	26708	20563
565	26741	20505
566	26779	20450
567	26817	20396
568	26844	20333
569	26886	20282
570	26920	20225
571	27008	20208
572	27036	20147
573	27075	20094
574	27109	20037
575	27142	19980
576	27175	19922
577	27221	19874
578	27258	19819
579	27296	19766
580	27335	19713
581	27374	19660
582	27401	19599
583	27436	19543
584	27469	19487
585	27499	19428
586	27547	19381
587	27580	19325
588	27621	19274
589	27650	19214
590	27681	19157
591	27718	19103
592	27746	19043
593	27781	18988
594	27940	19018
595	28057	19018
596	28088	18960
597	28128	18908
598	28165	18855
599	28195	18796
600	28244	18751
601	28288	18702
602	28318	18644
603	28344	18583
604	28378	18528
605	28417	18475
606	28451	18420
607	28485	18365
608	28512	18306
609	28544	18249
610	28601	18209
611	28641	18158
612	28670	18100
613	28705	18046
614	28739	17991
615	28771	17935
616	28810	17884
617	28847	17831
618	28886	17779
619	28922	17726
620	28956	17672
621	29014	17632
622	29094	17606
623	29130	17552
624	29162	17497
625	29204	17447
626	29247	17399
627	29284	17346
628	29324	17296
629	29364	17245
630	29406	17196
631	29453	17149
632	29509	17108
633	29530	17047
634	29552	16987
635	29581	16930
636	29616	16876
637	29657	16827
638	29692	16774
639	29728	16722
640	29787	16682
641	29819	16628
642	29853	16574
643	29886	16521
644	29927	16471
645	29956	16415
646	29990	16362
647	30031	16313
648	30067	16261
649	30106	16211
650	30146	16161
651	30178	16107
652	30222	16060
653	30262	16010
654	30285	15951
655	30312	15895
656	30350	15844
657	30395	15798
658	30441	15751
659	30475	15699
660	30518	15651
661	30553	15599
662	30582	15544
663	30625	15497
664	30659	15445
665	30692	15392
666	30732	15343
667	30763	15289
668	30795	15236
669	30830	15185
670	30869	15135
671	30915	15089
672	30948	15037
673	30981	14985
674	31012	14931
675	31038	14876
676	31081	14828
677	31124	14781
678	31164	14732
679	31202	14683
680	31233	14630
681	31259	14575
682	31327	14539
683	31355	14485
684	31394	14436
685	31477	14407
686	31539	14369
687	31571	14317
688	31612	14269
689	31657	14222
690	31693	14172
691	31740	14127
692	31792	14084
693	31818	14029
694	31843	13974
695	31878	13923
696	31920	13876
697	31957	13826
698	31989	13775
699	32038	13730
700	32071	13679
701	32108	13630
702	32151	13583
703	32185	13532
704	32219	13482
705	32256	13432
706	32288	13381
707	32322	13330
708	32362	13282
709	32398	13233
710	32435	13184
711	32469	13133
712	32512	13087
713	32551	13038
714	32582	12987
715	32611	12935
716	32634	12880
717	32670	12831
718	32709	12783
719	32739	12732
720	32773	12681
721	32808	12632
722	32844	12583
723	32885	12536
724	32937	12493
725	32982	12447
726	33026	12402
727	33059	12351
728	33098	12304
729	33180	12272
730	33236	12230
731	33291	12188
732	33344	12145
733	33395	12102
734	33443	12057
735	33492	12013
736	33525	11963
737	33562	11914
738	33602	11867
739	33636	11818
740	33674	11770
741	33713	11722
742	33760	11677
743	33805	11632
744	33849	11586
745	33895	11540
746	33939	11494
747	33974	11445
748	34001	11394
749	34050	11350
750	34087	11302
751	34116	11251
752	34169	11208
753	34222	11165
754	34278	11123
755	34333	11081
756	34374	11034
757	34412	10986
758	34450	10938
759	34479	10888
760	34508	10837
761	34543	10789
762	34583	10742
763	34613	10692
764	34652	10645
765	34687	10596
766	34738	10552
767	34768	10503
768	34813	10457
769	34844	10407
770	34886	10361
771	34910	10310
772	34938	10260
773	34975	10212
774	35011	10164
775	35056	10119
776	35135	10084
777	35180	10038
778	35253	10001
779	35298	9956
780	35534	9964
781	35650	9938
782	35725	9900
783	35798	9862
784	35886	9828
785	35945	9786
786	36035	9752
787	36086	9708
788	36147	9666
789	36179	9617
790	36206	9566
791	36234	9516
792	36274	9468
793	36344	9429
794	36389	9383
795	36440	9339
796	36500	9296
797	36550	9252
798	36605	9208
799	36673	9168
800	36739	9127
801	36808	9087
802	36884	9048
803	36993	9018
804	37055	8976
805	37125	8935
806	37189	8894
807	37231	8847
808	37272	8799
809	37319	8753
810	37362	8707
811	37401	8659
812	37472	8619
813	37533	8576
814	37580	8530
815	37619	8482
816	37732	8451
817	37776	8404
818	37819	8358
819	37930	8326
820	37975	8279
821	38010	8231
822	38067	8187
823	38115	8141
824	38168	8096
825	38223	8051
826	38284	8008
827	38325	7961
828	38376	7916
829	38424	7870
830	38451	7819
831	38505	7775
832	38587	7735
833	38636	7690
834	38665	7640
835	38705	7592
836	38757	7547
837	38808	7502
838	38837	7452
839	38872	7404
840	38931	7360
841	38994	7317
842	39082	7278
843	39145	7235
844	39181	7187
845	39230	7141
846	39269	7093
847	39321	7048
848	39406	7008
849	39471	6965
850	39509	6917
851	39561	6872
852	39617	6827
853	39690	6785
854	39759	6742
855	39800	6695
856	39842	6648
857	39883	6600
858	39923	6553
859	39987	6509
860	40071	6469
861	40220	6439
862	40253	6390
863	40338	6349
864	40569	6331
865	40749	6305
866	40837	6264
867	40878	6216
868	40953	6173
869	41024	6130
870	41110	6088
871	41182	6045
872	41284	6005
873	41342	5960
874	41385	5912
875	41418	5862
876	41459	5814
877	41701	5794
878	41789	5752
879	41868	5709
880	41932	5663
881	41985	5617
882	42049	5571
883	42131	5528
884	42220	5486
885	42292	5441
886	42343	5394
887	42413	5349
888	42486	5304
889	42620	5267
890	42969	5256
891	43044	5211
892	43126	5167
893	43162	5117
894	43212	5069
895	43254	5020
896	43303	4972
897	43358	4924
898	43407	4876
899	43524	4836
900	43653	4796
901	43751	4753
902	43817	4706
903	43852	4656
904	43903	4608
905	43950	4559
906	43999	4511
907	44052	4463
908	44101	4415
909	44134	4364
910	44187	4316
911	44232	4268
912	44282	4219
913	44367	4174
914	44418	4126
915	44470	4078
916	44510	4028
917	44546	3979
918	44600	3931
919	44635	3881
920	44679	3832
921	44712	3782
922	44754	3733
923	44793	3684
924	44845	3636
925	44888	3587
926	44921	3537
927	44972	3489
928	45006	3439
929	45054	3391
930	45093	3342
931	45127	3292
932	45173	3243
933	45209	3194
934	45272	3147
935	45319	3098
936	45358	3049
937	45391	3000
938	45456	2952
939	45499	2904
940	45536	2855
941	45582	2806
942	45613	2757
943	45641	2707
944	45693	2659
945	45739	2610
946	45857	2566
947	45907	2518
948	45945	2469
949	45981	2420
950	46028	2371
951	46062	2322
952	46099	2273
953	46132	2224
954	46182	2176
955	46223	2127
956	46279	2079
957	46327	2031
958	46388	1983
959	46429	1934
960	46467	1885
961	46506	1837
962	46540	1788
963	46587	1739
964	46624	1691
965	46668	1642
966	46704	1593
967	46738	1545
968	46778	1496
969	46828	1448
970	46885	1400
971	46926	1351
972	46964	1303
973	47016	1255
974	47048	1206
975	47081	1157
976	47116	1109
977	47153	1060
978	47189	1012
979	47227	963
980	47260	915
981	47297	866
982	47333	818
983	47379	770
984	47410	721
985	47452	673
986	47494	625
987	47538	577
988	47579	529
989	47614	480
990	47652	432
991	47685	384
992	47725	336
993	47767	288
994	47806	240
995	47848	192
996	47888	144
997	47922	96
998	47976	48
999	48016	0
