iter	RMSE
295	796.4843519
296	796.3973381
297	796.3407437
298	796.2488432
299	796.1497304
300	796.0770676
301	795.9875412
302	795.8873484
303	795.8065702
304	795.6884906
305	795.5920195
306	795.5005643
307	795.4131775
308	795.3244054
309	795.2412468
310	795.1579603
311	795.0730766
312	794.9879468
313	794.9148912
314	794.8342874
315	794.7161553
316	794.6215798
317	794.5524745
318	794.4921228
319	794.3987218
320	794.318904
321	794.246888
322	794.1657967
323	794.0832645
324	794.0097148
325	793.9229061
326	793.8658195
327	793.786223
328	793.7233643
329	793.6491327
330	793.5385683
331	793.4667789
332	793.4012609
333	793.3308344
334	793.2543028
335	793.1775945
336	793.1028046
337	793.0406447
338	792.968661
339	792.8950805
340	792.8198197
341	792.7684161
342	792.7090578
343	792.6728406
344	792.5979291
345	792.5114336
346	792.4378012
347	792.3728249
348	792.3141963
349	792.2273565
350	792.139359
351	792.0640624
352	792.0063903
353	791.9300123
354	791.8553573
355	791.7747871
356	791.7014953
357	791.5993891
358	791.5379939
359	791.4572477
360	791.3917239
361	791.3165144
362	791.2539903
363	791.178489
364	791.1188371
365	791.0605575
366	791.0146658
367	790.9475402
368	790.8761435
369	790.7896296
370	790.7467418
371	790.6896595
372	790.627046
373	790.5598676
374	790.4492696
375	790.3885796
376	790.3141108
377	790.2783482
378	790.2085289
379	790.1610091
380	790.1006978
381	790.0484028
382	790.0015724
383	789.9302304
384	789.8884374
385	789.8302979
386	789.7636069
387	789.7036122
388	789.6508018
389	789.5899705
390	789.530163
391	789.4735921
392	789.4365262
393	789.3763289
394	789.2590008
395	789.2071963
396	789.1284221
397	789.0720301
398	789.0371054
399	788.9830269
400	788.9269466
401	788.8832604
402	788.8278361
403	788.7734505
404	788.7240142
405	788.6386485
406	788.5880281
407	788.5280876
408	788.4918707
409	788.4453665
410	788.340756
411	788.3042793
412	788.2439602
413	788.1965537
414	788.1482237
415	788.0671054
416	787.9979339
417	787.8863226
418	787.8432716
419	787.7929918
420	787.7350473
421	787.6875164
422	787.6385379
423	787.5753756
424	787.5288369
425	787.4901243
426	787.4557258
427	787.4144908
428	787.3708707
429	787.3181668
430	787.2740119
431	787.2372287
432	787.1856612
433	787.133123
434	787.0964942
435	787.0787035
436	787.0380935
437	786.9867075
438	786.9467998
439	786.9115693
440	786.8785514
441	786.8361212
442	786.7979805
443	786.7340109
444	786.6923099
445	786.6388333
446	786.60225
447	786.5267528
448	786.4603094
449	786.4184174
450	786.388132
451	786.34389
452	786.3123403
453	786.2688823
454	786.2226012
455	786.1855416
456	786.1461247
457	786.0720445
458	786.0099409
459	785.976189
460	785.934419
461	785.8422846
462	785.8056042
463	785.7382701
464	785.7141268
465	785.6391207
466	785.5745266
467	785.5326854
468	785.4906271
469	785.4493569
470	785.4116168
471	785.3692298
472	785.2997463
473	785.2638937
474	785.1580553
475	785.1020528
476	785.06465
477	784.9738054
478	784.9421235
479	784.9014561
480	784.8692079
481	784.8363108
482	784.7931786
483	784.7542156
484	784.6845822
485	784.6431508
486	784.610932
487	784.5365686
488	784.5016896
489	784.4599373
490	784.438931
491	784.3969253
492	784.3588433
493	784.3037395
494	784.2709015
495	784.244894
496	784.2093699
497	784.1154158
498	784.0933229
499	784.0580085
500	784.0111198
501	783.9525307
502	783.9149189
503	783.8855001
504	783.8005465
505	783.7578124
506	783.7343111
507	783.7022772
508	783.6633695
509	783.624911
510	783.5902753
511	783.5770518
512	783.549329
513	783.5163748
514	783.4974767
515	783.4566161
516	783.4178036
517	783.3841949
518	783.3632547
519	783.3265889
520	783.294798
521	783.259466
522	783.2340755
523	783.2223558
524	783.1358797
525	783.1156216
526	783.0478769
527	783.0154649
528	782.9706261
529	782.9497396
530	782.9210019
531	782.8722091
532	782.858913
533	782.8404549
534	782.812177
535	782.7324821
536	782.6960065
537	782.6663791
538	782.6466052
539	782.6198883
540	782.5910467
541	782.5598916
542	782.5346357
543	782.5034836
544	782.4455652
545	782.4124434
546	782.3807161
547	782.3493993
548	782.2915222
549	782.2709019
550	782.2542967
551	782.2248891
552	782.1708441
553	782.1453365
554	782.1157701
555	782.0939663
556	782.0665295
557	781.9863564
558	781.938408
559	781.9098044
560	781.882589
561	781.7947694
562	781.7612976
563	781.698087
564	781.6463659
565	781.5979601
566	781.5763199
567	781.5469247
568	781.5213339
569	781.5014713
570	781.4363585
571	781.4122016
572	781.3415066
573	781.3221082
574	781.2999319
575	781.2495358
576	781.2033543
577	781.1535316
578	781.1262063
579	781.1042366
580	781.0817058
581	781.0527571
582	781.016413
583	780.9898789
584	780.9638663
585	780.9369753
586	780.9055611
587	780.8749493
588	780.8521163
589	780.8027322
590	780.7734143
591	780.7461382
592	780.7260832
593	780.6984216
594	780.6432376
595	780.6199864
596	780.5997049
597	780.579944
598	780.5501057
599	780.5403236
600	780.4966463
601	780.4698093
602	780.4391938
603	780.4158884
604	780.3854028
605	780.363593
606	780.3407138
607	780.316089
608	780.2760104
609	780.2415219
610	780.2107666
611	780.184976
612	780.151007
613	780.117995
614	780.0913623
615	780.0685148
616	780.0394672
617	780.0158176
618	779.9561658
619	779.9499329
620	779.9246915
621	779.8986159
622	779.8801747
623	779.8588716
624	779.83551
625	779.8184623
626	779.7907995
627	779.7835625
628	779.7567263
629	779.7304585
630	779.7140049
631	779.698121
632	779.6615783
633	779.6402445
634	779.6126877
635	779.5901206
636	779.5091368
637	779.4951082
638	779.4690087
639	779.4418857
640	779.4002403
641	779.3804846
642	779.355539
643	779.3271958
644	779.307637
645	779.2817336
646	779.2643128
647	779.2424686
648	779.1732416
649	779.1043161
650	779.0803405
651	779.0615581
652	779.0393375
653	778.9880865
654	778.9594586
655	778.9417143
656	778.9087452
657	778.8877841
658	778.8217285
659	778.7965893
660	778.7825215
661	778.7541006
662	778.7415045
663	778.720605
664	778.7020036
665	778.6847459
666	778.6557705
667	778.6363451
668	778.6053988
669	778.5804625
670	778.5615371
671	778.4846789
672	778.4711642
673	778.4301925
674	778.4132011
675	778.3952988
676	778.3517465
677	778.3239121
678	778.2945555
679	778.2754666
680	778.2360408
681	778.2256191
682	778.2049975
683	778.1964637
684	778.1622904
685	778.1409861
686	778.1215031
687	778.1022378
688	778.078294
689	778.0590062
690	778.0379377
691	777.9989031
692	777.9715143
693	777.9586357
694	777.9366189
695	777.917219
696	777.8955406
697	777.8479249
698	777.8108061
699	777.7736166
700	777.7242416
701	777.6986777
702	777.6356328
703	777.6234188
704	777.6092319
705	777.5932689
706	777.532156
707	777.510467
708	777.4650849
709	777.4200536
710	777.3994558
711	777.3651995
712	777.3486222
713	777.3214976
714	777.3005888
715	777.2812859
716	777.2659851
717	777.2382843
718	777.2246742
719	777.2039045
720	777.1879243
721	777.1730487
722	777.1084996
723	777.0858399
724	777.0499552
725	777.0294831
726	777.0085586
727	776.9896488
728	776.9573669
729	776.9143065
730	776.8901678
731	776.8195264
732	776.8021964
733	776.779386
734	776.7572899
735	776.7273277
736	776.7053951
737	776.6822596
738	776.6388415
739	776.6123636
740	776.5941319
741	776.5780222
742	776.5060602
743	776.4879694
744	776.4661373
745	776.4445675
746	776.4240861
747	776.4050667
748	776.3802459
749	776.3781118
750	776.3627401
751	776.3109666
752	776.2817516
753	776.2566824
754	776.2442197
755	776.2210549
756	776.1964654
757	776.1812791
758	776.1412304
759	776.134457
760	776.1059742
761	776.0911333
762	776.0513508
763	776.0173825
764	776.0003903
765	775.9755068
766	775.9668595
767	775.9449803
768	775.9019725
769	775.8686851
770	775.8439818
771	775.8322364
772	775.7852035
773	775.7675477
774	775.7521926
775	775.687056
776	775.6748412
777	775.6257875
778	775.6113434
779	775.5703389
780	775.5481736
781	775.5200986
782	775.5187236
783	775.4892367
784	775.4688376
785	775.4545592
786	775.4373457
787	775.4284632
788	775.4207168
789	775.4066347
790	775.3855095
791	775.3614703
792	775.3421617
793	775.3005428
794	775.2853627
795	775.2609989
796	775.2464933
797	775.2269075
798	775.2093752
799	775.198614
800	775.162481
801	775.1494076
802	775.1401882
803	775.1184165
804	775.0997348
805	775.0834692
806	775.0543693
807	775.0391136
808	775.0255082
809	774.9881405
810	774.9778622
811	774.9532731
812	774.9414488
813	774.9181599
814	774.8964744
815	774.8843149
816	774.8603294
817	774.8424815
818	774.8238614
819	774.8180825
820	774.7967086
821	774.7761177
822	774.7627118
823	774.7329046
824	774.7196989
825	774.7027461
826	774.6814013
827	774.6621219
828	774.6391699
829	774.6248149
830	774.5992057
831	774.5613827
832	774.5324149
833	774.5209783
834	774.4907621
835	774.4632679
836	774.4458536
837	774.4241081
838	774.4065875
839	774.3849335
840	774.3632829
841	774.3448341
842	774.3272622
843	774.3034632
844	774.2891028
845	774.2527806
846	774.2455813
847	774.2203318
848	774.2143283
849	774.1978113
850	774.18124
851	774.1650121
852	774.1513335
853	774.1151068
854	774.098669
855	774.0549727
856	774.0379846
857	773.9949826
858	773.9747294
859	773.9535563
860	773.9328916
861	773.9179092
862	773.8993137
863	773.8343958
864	773.8180811
865	773.7956741
866	773.7737123
867	773.7553148
868	773.6811086
869	773.6627809
870	773.6467528
871	773.6331396
872	773.6220807
873	773.6071117
874	773.5968368
875	773.586427
876	773.5614992
877	773.5455716
878	773.5185033
879	773.4733785
880	773.4670409
881	773.4486615
882	773.4350784
883	773.4158978
884	773.3882747
885	773.3661914
886	773.3470506
887	773.3312539
888	773.3202033
889	773.3077482
890	773.2968175
891	773.2705754
892	773.2597498
893	773.2370019
894	773.2125084
895	773.1904273
896	773.178868
897	773.1459713
898	773.0758783
899	773.0544104
900	773.0452084
901	773.0390446
902	773.0293761
903	773.0102937
904	772.9778453
905	772.9595994
906	772.8969863
907	772.8886404
908	772.8751596
909	772.8634881
910	772.8485971
911	772.8315462
912	772.8198103
913	772.7597081
914	772.7298923
915	772.7129462
916	772.6974595
917	772.6801404
918	772.6616648
919	772.6461206
920	772.5999726
921	772.5810869
922	772.5792948
923	772.5598017
924	772.5518451
925	772.535643
926	772.5234151
927	772.5055866
928	772.4910086
929	772.4474499
930	772.4326779
931	772.4161668
932	772.4021307
933	772.3614394
934	772.3564041
935	772.3321901
936	772.313397
937	772.2941879
938	772.2758672
939	772.2617519
940	772.2372235
941	772.2131813
942	772.1976189
943	772.1763396
944	772.1728262
945	772.1184
946	772.10154
947	772.0886159
948	772.0786507
949	772.059867
950	772.0440308
951	772.0224318
952	772.0177319
953	771.9859516
954	771.9724506
955	771.934764
956	771.9155081
957	771.8684766
958	771.8499121
959	771.8414946
960	771.8274302
961	771.8232947
962	771.8068953
963	771.7986993
964	771.7814245
965	771.7657252
966	771.7539746
967	771.7395143
968	771.7303088
969	771.705842
970	771.6975932
971	771.6751781
972	771.6683465
973	771.6629563
974	771.6311791
975	771.6231015
976	771.5921027
977	771.5640387
978	771.5453099
979	771.5092255
980	771.4908394
981	771.4678702
982	771.4576363
983	771.4409925
984	771.4278203
985	771.3859265
986	771.3681459
987	771.3577204
988	771.3312993
989	771.3113544
990	771.3038902
991	771.2924492
992	771.2869905
993	771.2748874
994	771.2638767
995	771.2499515
996	771.2420349
997	771.2228996
998	771.1980198
999	771.1767272
